Place,Name,Tier
1,GrBtAce,4 1/4
1,598,4 1/4
3,Ponix,3 1/4
4,wang10057,2 2/4
4,teeks,2 2/4
4,Geometris217,2 2/4
7,Denver,1 3/4
7,Algebruh,1 3/4
9,Shaheenbekk,1 2/4
9,Hepta,1 2/4
9,Creative Name,1 2/4
12,Tiger Ros,0 3/4
12,Peng,0 3/4
12,LeGlaude,0 3/4
12,Cheez,0 3/4
12,-Error404-,0 3/4
17,zactodd,0 2/4
17,xp2,0 2/4
17,Tyranno5,0 2/4
17,TurtwigGrookey25,0 2/4
17,TheDaved,0 2/4
17,søki,0 2/4
17,SundayLee,0 2/4
17,Pentag,0 2/4
17,Mooing,0 2/4
17,LukasDrakon,0 2/4
17,Illudiot,0 2/4
17,Hazelnutmilk,0 2/4
17,Fredu5,0 2/4
17,Draedon,0 2/4
17,CoolOblivion759,0 2/4
17,Cashew,0 2/4
17,Cahase,0 2/4
17,Baron,0 2/4
17,aPiano,0 2/4
36,Zach Snider,0 1/4
36,Yimbyx,0 1/4
36,YanFCS,0 1/4
36,woeisme2,0 1/4
36,willycel123,0 1/4
36,u/0987user,0 1/4
36,Tyger2k,0 1/4
36,TSTman,0 1/4
36,Translate Conversation,0 1/4
36,towtE,0 1/4
36,swng,0 1/4
36,Supershocky,0 1/4
36,subway,0 1/4
36,Starline,0 1/4
36,snebr,0 1/4
36,Sigs,0 1/4
36,SF,0 1/4
36,SevenEs,0 1/4
36,RunningOutRate/アガラナイの滝,0 1/4
36,rtxile,0 1/4
36,Robbie,0 1/4
36,Rankail ,0 1/4
36,Rankail,0 1/4
36,Randyx210,0 1/4
36,RainZI,0 1/4
36,Qui-Gon Jim,0 1/4
36,Piano,0 1/4
36,Okey__Dokey,0 1/4
36,NKS,0 1/4
36,Nilgiri,0 1/4
36,Nightmare,0 1/4
36,Mokdad,0 1/4
36,mhimmel2100,0 1/4
36,Master101,0 1/4
36,mariofan9,0 1/4
36,Marcus,0 1/4
36,Madkiwi,0 1/4
36,macnmath,0 1/4
36,Lantern108,0 1/4
36,KonSola5,0 1/4
36,Kelvin,0 1/4
36,Keiko,0 1/4
36,Kapttouzi/黄西瓜,0 1/4
36,jshawty,0 1/4
36,jmzillmer,0 1/4
36,Jeme,0 1/4
36,izzyfrbi,0 1/4
36,Irish Wristwatch,0 1/4
36,hebo-MAI,0 1/4
36,Grim9898,0 1/4
36,Gold,0 1/4
36,Gogo,0 1/4
36,geosyog,0 1/4
36,funkynuts5000,0 1/4
36,FumeNeko,0 1/4
36,FrothyPizza,0 1/4
36,Fortissim2,0 1/4
36,famijoku,0 1/4
36,evros chris,0 1/4
36,Error404,0 1/4
36,ellpArM,0 1/4
36,Dihydrogen,0 1/4
36,Demoniction,0 1/4
36,DAGU3M3NG,0 1/4
36,Conman,0 1/4
36,Canadian Bagel,0 1/4
36,bacchess,0 1/4
36,arren,0 1/4
36,Adam M,0 1/4
36,49083852,0 1/4
36,3000yosef,0 1/4
